Numer                                       wpisu;Imiê i nazwisko lub nazwa inwestora;Data wpisu;Adres;Rodzaj;opis;typ;Data wniosku;Nr               wniosku;Nr               decyzji;Data decyzji;Rok wniosku;Miesi¹c wniosku;data;Czas rozpatrzenia
289;;;Koreañska  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego;nowe;2014-05-30;17288/14;585/15;2015-02-09;2014;5;2014-05-01;182
301;;;Krêpicka  42 ;bud.o dwóch mieszkaniach;dokoñczenie budowy domu jednorodzinnego;nowe;2014-12-10;39764/14;604/15;2015-02-10;2014;12;2014-12-01;45
302;;;Siedlecka  18 ;bud.o dwóch mieszkaniach;budowa dwóch budynków mieszkalnych;nowe;2014-11-26;38168/14;606/15;2015-02-10;2014;11;2014-11-01;55
312;;;Zagony  53 ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynku mieszkalnych wielorodzinnych;nowe;2014-12-15;40312/14;640/15;2015-02-12;2014;12;2014-12-01;44
321;;;Ratyñska  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-11-24;37810/14;661/15;2015-02-12;2014;11;2014-11-01;59
333;;;Siedlecka  24 ;bud.o dwóch mieszkaniach;budowa 2 budynków jednorodzinnych;nowe;2014-11-28;38556/14;684/15;2015-02-13;2014;11;2014-11-01;56
336;;;Redycka  ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalnego wielorodzinnego z wbudowanymi us³ugami w parterach i gara¿ami;nowe;2013-12-23;40583/13;689/15;2015-02-13;2013;12;2013-12-01;300
345;;;Kowale;bud.o dwóch mieszkaniach;budowa zespo³u dwóch domów jednorodzinnych dwulokalowych w zabudowie bli¿niaczej;nowe;2015-01-08;339/15;703/15;2015-02-16;2015;1;2015-01-01;28
365;;;Stra¿acka  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego parterowego;nowe;2014-12-19;40970/14;739/15;2015-02-17;2014;12;2014-12-01;43
372;;;Be¿owa  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego;nowe;2014-12-23;41236/14;750/15;2015-02-18;2014;12;2014-12-01;42
376;;;Jagodno;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2014-12-23;41388/14;760/15;2015-02-18;2014;12;2014-12-01;42
378;;;Trzmielowicka  24 ;bud.mieszkalne jednorodzinne;budowa domu mieszkalnego jednorodzinnego;nowe;2014-12-15;40287/14;764/15;2015-02-18;2014;12;2014-12-01;48
379;;;Zalipie  13 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-11-10;36480/14;766/15;2015-02-18;2014;11;2014-11-01;73
386;;;Skarbowców  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2015-01-15;1194/15;783/15;2015-02-19;2015;1;2015-01-01;26
416;;;Lipa Piotrowska;bud.o dwóch mieszkaniach;budowa 2  budynków jednorodzinnych;nowe;2014-12-31;41866/14;851/15;2015-02-24;2014;12;2014-12-01;40
420;;;Grota-Roweckiego Stefana Gen.  39 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2014-11-26;38090/14;856/15;2015-02-24;2014;11;2014-11-01;65
424;;;Kaszubska 8 ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalno-us³ugowego;nowe;2014-12-17;40503/14;862/15;2015-02-24;2014;12;2014-12-01;50
425;;;Partynicka 27-27A ;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalno-us³ugowego;nowe;2015-01-05;140/15;864/15;2015-02-24;2015;1;2015-01-01;37
440;;;Orkana W³adys³awa  36 ;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego oraz rozbiórka istniej¹cego;nowe;2014-12-17;40635/14;897/15;2015-02-25;2014;12;2014-12-01;51
453;;;Lipa Piotrowska;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-12-31;41867/14;918/15;2015-02-26;2014;12;2014-12-01;42
455;;;Domañskiego Boles³awa Ks.  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zabudowie szeregowej;nowe;2014-12-31;41830/14;922/15;2015-02-26;2014;12;2014-12-01;42
469;;;Pogodna  33 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-12-19;41023/14;946/15;2015-02-27;2014;12;2014-12-01;51
475;;;P³u¿na  ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2015-01-19;1485/15;955/15;2015-02-27;2015;1;2015-01-01;30
476;;;£ukowska  25 ;bud.mieszkalne jednorodzinne;budowa domu mieszkalnego jednorodzinnego;nowe;2014-12-31;41818/14;957/15;2015-02-27;2014;12;2014-12-01;43
479;;;¯erniki;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2014-12-31;41767/14;960/15;2015-02-27;2014;12;2014-12-01;43
492;;;Marszowicka  ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u willi miejskich/13 budynków/;nowe;2015-01-16;1311/15;982/15;2015-03-03;2015;1;2015-01-01;33
