Numer                                       wpisu;Imiê i nazwisko lub nazwa inwestora;Data wpisu;Adres;Rodzaj;opis;typ;Data wniosku;Nr               wniosku;Nr               decyzji;Data decyzji;Rok wniosku;Miesi¹c wniosku;data;Czas rozpatrzenia
3138;;2010-12-03;Dró¿nicza 75;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2010-10-01;32978/10;paŸ-44;2010-12-03;2010;10;2010-10-01;46
3145;;2010-12-06;Mazepy;bud.o dwóch mieszkaniach;;nowe;2010-10-05;33275/10;383/10;2010-12-06;2010;10;2010-10-01;45
3148;;2010-12-06;Czerwonych Maków 12A;bud.mieszkalne jednorodzinne;budynek jednorodzinny wolnostoj¹cy;nowe;2010-10-05;33397/10;paŸ-49;2010-12-06;2010;10;2010-10-01;45
3154;;2010-12-06;Marszowicka 117;bud.o dwóch mieszkaniach;dom jednorodzinny;nowe;2010-10-14;34615/10;paŸ-55;2010-12-06;2010;10;2010-10-01;38
3168;;2010-12-07;Za³ê¿e;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-10-06;33608/10;paŸ-68;2010-12-07;2010;10;2010-10-01;45
3173;;2010-12-07;Cukrowa 5;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal.wielorodzinn;nowe;2010-09-10;30476/10;paŸ-73;2010-12-07;2010;9;2010-09-01;63
3181;;2010-12-09;U³añska 66-68;bud.o trzech i wiêcej mieszkaniach;postanawiam umorzyæ postêpowanie administracyjne;nowe;2010-03-19;paŸ-19;389/10;2010-12-09;2010;3;2010-03-01;190
3187;;2010-12-09;Oficerska 12;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal.z parkingiem podziemnym;nowe;2010-05-28;17875/10;paŸ-81;2010-12-09;2010;5;2010-05-01;140
3188;;2010-12-09;Miechowska 16;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-10-29;36711/10;paŸ-82;2010-12-09;2010;10;2010-10-01;30
3204;;2010-12-09;Lubelska 83;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.z wbudowana us³ug¹;nowe;2010-09-02;29460/10;paŸ-98;2010-12-09;2010;9;2010-09-01;71
3226;;2010-12-13;Suwalska;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków mieszkal.;nowe;2010-10-14;34631/10;paŸ-16;2010-12-13;2010;10;2010-10-01;43
3232;;2010-12-14;Agrestowa;bud.o trzech i wiêcej mieszkaniach;zespó³ wielorodzinnych budynkow mieszkalnych ;nowe;2010-11-17;38603/10;paŸ-19;2010-12-14;2010;11;2010-11-01;20
3246;;2010-12-14;Wa³brzyska;bud.mieszkalne jednorodzinne;budowa osiedla domów;nowe;2010-10-11;34079/10;paŸ-33;2010-12-14;2010;10;2010-10-01;47
3254;;2010-12-15;Su³owska;bud.mieszkalne jednorodzinne;budowa 2 budynków jednorodzinnych w zab.blizniaczej;nowe;2010-11-05;37372/10;211/10;2010-12-15;2010;11;2010-11-01;29
3271;;2010-12-15;Konopnickiej Marii 45;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-09-30;32819/10;paŸ-53;2010-12-15;2010;9;2010-09-01;55
3292;;2010-12-17;Do¿ynkowa 43;bud.mieszkalne jednorodzinne;budowa linii n/n;nowe;2010-11-29;39919/10;paŸ-70;2010-12-17;2010;11;2010-11-01;15
3299;;2010-12-17;Krzeszowska 11A;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2010-10-19;35068/10;paŸ-77;2010-12-17;2010;10;2010-10-01;44
3302;;2010-12-20;Spi¿owa 15A;bud.o trzech i wiêcej mieszkaniach;budynek mieszkal.-us³ugowy z gara¿em podziemnym;nowe;2008-03-20;11761/08;paŸ-80;2010-12-20;2008;3;2008-03-01;718
3329;;2010-12-22;S³omiana 5;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-10-20;35244/10;218/10;2010-12-22;2010;10;2010-10-01;46
3333;;2010-12-22;Buraczana 18A;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-09-20;31502/10;paŸ-06;2010-12-22;2010;9;2010-09-01;68
3335;;2010-12-22;Mewia 49;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzin;nowe;2010-10-25;35874/10;paŸ-08;2010-12-22;2010;10;2010-10-01;43
3381;;2010-12-30;Polkowicka;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny z us³ug¹ w poziomie;nowe;2010-12-08;41027/10;paŸ-51;2010-12-30;2010;12;2010-12-01;17
4;;2011-01-03;Tarnogajska;bud.o trzech i wiêcej mieszkaniach;budowa budynków mieszkalnych wielorodzinnych ;nowe;2010-10-29;36695/10;11-lut;2011-01-03;2010;10;2010-10-01;47
29;;2011-01-07;Sudecka 156;bud.o trzech i wiêcej mieszkaniach;budowa wielorodzinnego budynku mieszkalnego;nowe;2010-03-12;paŸ-30;11-kwi;2011-01-07;2010;3;2010-03-01;216
35;;2011-01-07;Œnie¿na;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2010-11-04;37149/10;27-lis;2011-01-07;2010;11;2010-11-01;47
61;;2011-01-12;Krzycka 71;bud.o trzech i wiêcej mieszkaniach;zespó³ 5 budynków wielorodzinnych;nowe;2010-10-15;34733/10;lis-50;2011-01-12;2010;10;2010-10-01;64
64;;2011-01-13;Asfaltowa;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal.wielorodz.z infra.tech.;nowe;2010-11-30;40130/10;lis-52;2011-01-13;2010;11;2010-11-01;33
73;;2011-01-13;B¹ka Stanis³awa 16;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2010-12-16;42091/10;lis-61;2011-01-13;2010;12;2010-12-01;21
78;;2011-01-14;Kominiarska 57;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-11-17;38565/10;11-cze;2011-01-14;2010;11;2010-11-01;43
83;;2011-01-14;Pakos³awska 15;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2010-12-01;40136/10;lis-66;2011-01-14;2010;12;2010-12-01;33
122;;2011-01-19;Parafialna 60-66;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków mieszkal.       wielorodzinnych;nowe;2010-10-19;35115/10;lis-98;2011-01-19;2010;10;2010-10-01;67
136;;2011-01-20;Lechitów 12A;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2010-11-19;38781/10;107/11;2011-01-20;2010;11;2010-11-01;45
140;;2011-01-20;Siedlecka 14;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2010-11-23;39328/10;111/11;2011-01-20;2010;11;2010-11-01;43
146;;2011-01-21;G³ówna 50;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2010-11-15;38119/10;116/11;2011-01-21;2010;11;2010-11-01;50
157;;2011-01-24;Pe³czyñska 103;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2010-11-17;38597/10;126/11;2011-01-24;2010;11;2010-11-01;49
158;;2011-01-24;P³u¿na;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.wraz z infra.tech.;nowe;2011-01-18;1484/11;127/11;2011-01-24;2011;1;2011-01-01;5
172;;2011-01-25;Centralna 26E;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzin;nowe;2010-11-30;40086/10;139/11;2011-01-25;2010;11;2010-11-01;41
175;;2011-01-25;Na Polance;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalno-us³ugowego z parkingiem ;nowe;2010-11-12;37976/10;142/11;2011-01-25;2010;11;2010-11-01;53
178;;2011-01-26;Zatorska;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u zabudowy wielorodzinnej-budynki ;nowe;2010-12-10;41430/10;145/11;2011-01-26;2010;12;2010-12-01;34
180;;2011-01-26;Prudnicka;bud.o trzech i wiêcej mieszkaniach;budowa linii kablowej œr/n do stacji transformatorowej ;nowe;2010-12-16;42093/10;147/11;2011-01-26;2010;12;2010-12-01;30
184;;2011-01-26;B³awatna;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2011-01-03;lis-88;151/11;2011-01-26;2011;1;2011-01-01;18
188;;2011-01-27;Krêta 10;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalwielorodz.z powierzchni¹ handlow¹ ;nowe;2010-11-16;38379/10;154/11;2011-01-27;2010;11;2010-11-01;53
191;;2011-01-27;Malczycka;bud.mieszkalne jednorodzinne;budowa osiedla 7 domów jednorodzinnych wolno stoj¹cych;nowe;2010-12-20;42285/10;157/11;2011-01-27;2010;12;2010-12-01;29
192;;2011-01-28;E³cka 8A;bud.mieszkalne jednorodzinne;;nowe;2010-12-10;41234/10;11-gru;2011-01-28;2010;12;2010-12-01;36
220;;2011-02-01;Opatowicka 17;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2010-12-22;42588/10;182/11;2011-02-01;2010;12;2010-12-01;30
230;;2011-02-02;Mazepy;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2011-01-07;388/11;191/11;2011-02-02;2011;1;2011-01-01;19
253;;2011-02-07;Jaskó³cza 25;bud.mieszkalne jednorodzinne;wolno stoj¹cy z wbudowanym gara¿em;nowe;2010-11-10;37858/10;213/11;2011-02-07;2010;11;2010-11-01;64
262;;2011-02-08;Piêkna 5;bud.o trzech i wiêcej mieszkaniach;zespó³ budynków wielorodzinnych;nowe;2010-12-01;40249/10;14-lis;2011-02-08;2010;12;2010-12-01;50
272;;2011-02-08;Matejki Jana Aleja 2;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u zabudowy mieszkalno-us³ugowej z gara¿em ;nowe;2010-12-03;40498/10;230/11;2011-02-08;2010;12;2010-12-01;48
294;;2011-02-10;Grawerska;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzinnego z gara¿em;nowe;2010-12-20;42364/10;248/11;2011-02-10;2010;12;2010-12-01;39
305;;2011-02-14;Klasztorna 16;bud.mieszkalne jednorodzinne;budowa budynku mieszkaln jednorodz.;nowe;2011-01-13;1056/11;257/11;2011-02-14;2011;1;2011-01-01;23
314;;2011-02-14;Beniowskiego Maurycego 15;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2010-12-16;42052/10;266/11;2011-02-14;2010;12;2010-12-01;43
318;;2011-02-14;Leœna 14A;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2011-01-07;376/11;270/11;2011-02-14;2011;1;2011-01-01;27
320;;2011-02-15;P³u¿na 45;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednor.   gara¿u;nowe;2011-01-05;207/11;272/11;2011-02-15;2011;1;2011-01-01;30
327;;2011-02-16;Grawerska 17B;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.z gara¿em;nowe;2010-12-15;41944/10;277/11;2011-02-16;2010;12;2010-12-01;46
334;;2011-02-17;Marszowicka 83;bud.mieszkalne jednorodzinne;budowa jednorodzinnego budynku mieszkalnego;nowe;2011-01-14;1237/11;283/11;2011-02-17;2011;1;2011-01-01;25
344;;2011-02-18;Rac³awicka;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u wielorodzinnych budynków mieszk;nowe;2010-12-15;41899/10;20-lis;2011-02-18;2010;12;2010-12-01;48
354;;2011-02-21;£ukowa 12;bud.o dwóch mieszkaniach;budowa budynku mieszkalnego jednorodzinnego ;nowe;2010-12-01;40186/10;300/11;2011-02-21;2010;12;2010-12-01;59
360;;2011-02-22;Brahmsa Johannesa;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.wolnostoj.z gara¿em;nowe;2011-01-19;1580/11;304/11;2011-02-22;2011;1;2011-01-01;25
362;;2011-02-22;Rabczañska 19;bud.mieszkalne jednorodzinne;budowa budynku jednorodz.;nowe;2010-12-28;43003/10;306/11;2011-02-22;2010;12;2010-12-01;41
373;;2011-02-23;Wyk³adowa 35A;bud.mieszkalne jednorodzinne;budowa bud.mieszkal.jednorodz.w zabud.szeregowej;nowe;2011-01-28;lis-19;316/11;2011-02-23;2011;1;2011-01-01;19
392;;2011-02-25;Marszowicka 81;bud.mieszkalne jednorodzinne;budowa jednorodzinnego budynku mieszkal.;nowe;2011-01-14;1236/11;332/11;2011-02-25;2011;1;2011-01-01;31
393;;2011-02-25;Semaforowa;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego wolno stoj¹cego;nowe;2010-12-31;43517/10;333/11;2011-02-25;2010;12;2010-12-01;41
398;;2011-02-25;Jêdrzejowska 3;bud.mieszkalne jednorodzinne;budowa budynku mieszkal jednor.wolno stoj¹cego;nowe;2011-01-20;1840/11;338/11;2011-02-25;2011;1;2011-01-01;27
408;;2011-02-28;Krzywickiego Ludwika 4-6;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u bud.wielorodz.w zabudowie bliŸ.z gara¿;nowe;2009-03-20;wrz-89;348/11;2011-02-28;2009;3;2009-03-01;507
410;;2011-03-01;U³añska;bud.o trzech i wiêcej mieszkaniach;postanawiam umorzyæ postêpowanie administracyjne;nowe;2010-12-31;43507/10;lis-42;2011-03-01;2010;12;2010-12-01;43
413;;2011-03-01;Pa³ucka;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal.;nowe;2010-12-30;43318/10;351/11;2011-03-01;2010;12;2010-12-01;44
425;;2011-03-02;Asfaltowa;bud.o trzech i wiêcej mieszkaniach;zespó³ dwóch budynków mieszkalnych wielorodz z gara¿ami podziem;nowe;2011-01-18;1516/11;362/11;2011-03-02;2011;1;2011-01-01;32
426;;2011-03-02;Krajobrazowa;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2010-07-08;22773/10;363/11;2011-03-02;2010;7;2010-07-01;170
460;;2011-03-07;S³omiana 5;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2011-01-17;1353/11;393/11;2011-03-07;2011;1;2011-01-01;36
465;;2011-03-07;Kominiarska 14;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2011-01-19;1686/11;398/11;2011-03-07;2011;1;2011-01-01;34
474;;2011-03-08;Terenowa;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny z gara¿em;nowe;2011-02-15;lis-79;406/11;2011-03-08;2011;2;2011-02-01;16
482;;2011-03-08;Paw³owice;bud.o dwóch mieszkaniach;budowa bud.mieszkal.z dwoma studniami i przy³.wody oraz przy³;nowe;2011-01-12;903/11;414/11;2011-03-08;2011;1;2011-01-01;40
489;;2011-03-09;Jutrzenki;bud.o dwóch mieszkaniach;budowa budynku jednorodzinnego o 2 lokalach mieszkalnych;nowe;2011-02-03;lis-88;419/11;2011-03-09;2011;2;2011-02-01;25
502;;2011-03-10;Lechitów;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego w zabudowie zagrodowej;nowe;2010-12-31;43398/10;432/11;2011-03-10;2010;12;2010-12-01;50
505;;2011-03-10;Mys³akowicka 27;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2010-12-17;42232/10;435/11;2011-03-10;2010;12;2010-12-01;60
507;;2011-03-10;Przedwioœnie;bud.o dwóch mieszkaniach;budow budynku mieszk.jednorodz.dwulokalowego;nowe;2011-01-24;lis-10;437/11;2011-03-10;2011;1;2011-01-01;34
510;;2011-03-10;Janowska;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2010-12-08;40949/10;439/11;2011-03-10;2010;12;2010-12-01;67
512;;2011-03-11;Agrestowa;bud.mieszkalne jednorodzinne;budowa bud.mieszkal.jednorodz.;nowe;2011-02-16;lis-49;28-lis;2011-03-11;2011;2;2011-02-01;18
517;;2011-03-11;Wereszyckiego Henryka 34;bud.mieszkalne jednorodzinne;budowa jednorodz.bud.mieszkal.;nowe;2011-02-15;lis-82;441/11;2011-03-11;2011;2;2011-02-01;19
518;;2011-03-11;Gêsia 12;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.z wy³.przy³.;nowe;2011-03-09;lis-53;442/11;2011-03-11;2011;3;2011-03-01;3
519;;2011-03-11;Polanowicka 74;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.z gara¿em i elementami infra.tech.;nowe;2011-01-11;755/11;443/11;2011-03-11;2011;1;2011-01-01;44
525;;2011-03-11;Marszowicka 79;bud.o dwóch mieszkaniach;;nowe;2011-01-21;lis-29;449/11;2011-03-11;2011;1;2011-01-01;36
527;;2011-03-11;P³u¿na 19;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2011-02-14;lis-26;451/11;2011-03-11;2011;2;2011-02-01;20
529;;2011-03-14;Przesiecka 37;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2011-01-13;1068/11;29-lis;2011-03-14;2011;1;2011-01-01;43
539;;2011-03-15;Samotna 35;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.;nowe;2011-01-18;1441/11;lis-31;2011-03-15;2011;1;2011-01-01;41
546;;2011-03-15;Rac³awicka;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków mieszk.   wielorodzinnych ;nowe;2011-02-25;lis-07;465/11;2011-03-15;2011;2;2011-02-01;13
547;;2011-03-16;Marszowice;bud.mieszkalne jednorodzinne;budowa jednorodz.    budynku mieszkal.z niezbêdna infrastruk.;nowe;2011-02-04;lis-35;466/11;2011-03-16;2011;2;2011-02-01;29
561;;2011-03-17;Worcella Stanis³awa 23;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalnego wielorodzinnego ;nowe;2011-01-28;lis-39;478/11;2011-03-17;2011;1;2011-01-01;35
564;;2011-03-17;O³taszyñska 71F;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2011-01-26;lis-68;481/11;2011-03-17;2011;1;2011-01-01;37
567;;2011-03-18;Lechitów;bud.mieszkalne jednorodzinne;budowa czterech bud.mieszkal.jednorodz.;nowe;2010-12-22;42709/10;484/11;2011-03-18;2010;12;2010-12-01;63
578;;2011-03-21;Su³owska;bud.mieszkalne jednorodzinne;budowa dwóch budynk  mieszkalnych jednor  w zabudowie bli¿niaczej;nowe;2011-02-11;lis-60;491/11;2011-03-21;2011;2;2011-02-01;27
579;;2011-03-21;Brahmsa Johannesa;bud.mieszkalne jednorodzinne;budynek jednorodzinny z przy³¹czami;nowe;2011-02-02;lis-53;492/11;2011-03-21;2011;2;2011-02-01;34
580;;2011-03-21;Granatowa 21;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego w zab  wolno stoj¹cej;nowe;2011-02-07;lis-81;493/11;2011-03-21;2011;2;2011-02-01;31
590;;2011-03-22;Asfaltowa;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal.wielorodz.z gara¿em podziemnym ;nowe;2011-01-21;1894/11;502/11;2011-03-22;2011;1;2011-01-01;43
594;;2011-03-23;Zag³oby Onufrego;bud.mieszkalne jednorodzinne;budowa zespo³u 12 budynków mieszk jednorodzinnych ;nowe;2011-02-16;lis-38;503/11;2011-03-23;2011;2;2011-02-01;26
635;;2011-03-29;Œwit 90;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2011-02-23;lis-64;539/11;2011-03-29;2011;2;2011-02-01;25
644;;2011-03-29;Kominiarska 3;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.z gara¿.oraz elem.infra.tech.;nowe;2011-02-02;lis-32;548/11;2011-03-29;2011;2;2011-02-01;40
651;;2011-03-30;Brylantowa;bud.o trzech i wiêcej mieszkaniach;postanawiam umorzyæ postêpowanie administracyjne;nowe;2011-02-04;lis-53;lis-72;2011-03-30;2011;2;2011-02-01;39
666;;2011-04-01;Mieroszowska 25;bud.o dwóch mieszkaniach;budowa budynku jednorodzinnego;nowe;2011-02-09;lis-38;563/11;2011-04-01;2011;2;2011-02-01;38
676;;2011-04-04;Beskidzka;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2011-01-31;lis-80;573/11;2011-04-04;2011;1;2011-01-01;46
687;;2011-04-05;Dolnobrzeska;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2011-02-25;lis-66;584/11;2011-04-05;2011;2;2011-02-01;28
692;;2011-04-05;Do¿ynkowa;bud.o trzech i wiêcej mieszkaniach;budowa 2 budynków mieszkalnych wielorodzinnych;nowe;2011-03-03;lis-66;589/11;2011-04-05;2011;3;2011-03-01;24
702;;2011-04-06;Grawerska;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.z infrastruk.towarzysz¹c¹;nowe;2011-02-01;lis-62;596/11;2011-04-06;2011;2;2011-02-01;47
713;;2011-04-07;Strumykowa 1D;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2011-03-01;lis-51;604/11;2011-04-07;2011;3;2011-03-01;28
724;;2011-04-08;Potokowa 13;bud.mieszkalne jednorodzinne;dokoñczenie budowy budynku mieszkal.jednorodz.;nowe;2010-12-22;42584/10;614/11;2011-04-08;2010;12;2010-12-01;78
735;;2011-04-08;Jasiñskiej Anny 19;bud.mieszkalne jednorodzinne;rozbudowa budynku mieszkalnego jednorodzinnego;nowe;2011-03-15;lis-76;625/11;2011-04-08;2011;3;2011-03-01;19
746;;2011-04-11;Szymanowskiego Karola 2C;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkalnego wielorodzinnego ;nowe;2010-11-15;38215/10;634/11;2011-04-11;2010;11;2010-11-01;106
749;;2011-04-11;E³cka 8A;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2011-02-24;lis-13;637/11;2011-04-11;2011;2;2011-02-01;33
775;;2011-04-13;P³u¿na;bud.mieszkalne jednorodzinne;budowa dwóch bud.mieszkal.jednorodz.w zabud.bliŸniaczej;nowe;2011-02-16;lis-69;650/11;2011-04-13;2011;2;2011-02-01;41
776;;2011-04-13;Poœwiêcka;bud.o dwóch mieszkaniach;budowa 4 domów jednorodzinnych;nowe;2011-02-17;lis-10;651/11;2011-04-13;2011;2;2011-02-01;40
780;;2011-04-13;Zatorska;bud.o trzech i wiêcej mieszkaniach;budowa bud.mieszkal.wielorodz.z gara¿.podziem;nowe;2011-02-10;lis-23;655/11;2011-04-13;2011;2;2011-02-01;45
785;;2011-04-13;Kamieñskiego Henryka Micha³a;bud.o dwóch mieszkaniach;budowa budynku mieszkalnego jednorodzinnego;nowe;2011-03-02;lis-76;660/11;2011-04-13;2011;3;2011-03-01;31
786;;2011-04-13;Wilkszyñska;bud.o dwóch mieszkaniach;budowa budynku mieszkal.ednorodz.w zabud.wolno stoj.;nowe;2011-03-08;lis-99;661/11;2011-04-13;2011;3;2011-03-01;27
794;;2011-04-14;Na³kowskiej Zofii 20;bud.mieszkalne jednorodzinne;budowa bud.mieszkal.jednorodz.;nowe;2011-02-15;lis-05;664/11;2011-04-14;2011;2;2011-02-01;43
795;;2011-04-14;Tybetañska 6;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2011-02-18;lis-58;665/11;2011-04-14;2011;2;2011-02-01;40
811;;2011-04-15;Owczarska 76;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2011-03-01;lis-07;680/11;2011-04-15;2011;3;2011-03-01;34
819;;2011-04-18;Lubczykowa;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2011-04-08;11550/11;23-lis;2011-04-18;2011;4;2011-04-01;7
827;;2011-04-19;Wêdkarzy;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2011-02-14;lis-36;lis-50;2011-04-19;2011;2;2011-02-01;47
839;;2011-04-19;Lekcyjna 155;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego;nowe;2011-02-16;lis-82;697/11;2011-04-19;2011;2;2011-02-01;45
840;;2011-04-19;Górecka 8;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u piêciu budynków mieszkal.;nowe;2011-01-26;lis-97;698/11;2011-04-19;2011;1;2011-01-01;60
851;;2011-04-20;U³añska;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków mieszkalnych ;nowe;2011-02-25;lis-95;705/11;2011-04-20;2011;2;2011-02-01;39
869;;2011-04-21;Koœciuszki Tadeusza;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków wielorodzinnych ;nowe;2011-03-18;lis-11;719/11;2011-04-21;2011;3;2011-03-01;25
874;;2011-04-22;Jasielska 5A;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzinn;nowe;2011-02-15;lis-65;722/11;2011-04-22;2011;2;2011-02-01;49
879;;2011-04-22;Kaletnicza;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2011-02-24;lis-15;727/11;2011-04-22;2011;2;2011-02-01;42
882;;2011-04-22;£ukowa 4;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.z gara¿em dwustanowiskowym;nowe;2011-03-11;lis-88;730/11;2011-04-22;2011;3;2011-03-01;31
888;;2011-04-26;Raszowska;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2011-03-10;lis-44;732/11;2011-04-26;2011;3;2011-03-01;34
899;;2011-04-27;Jaspisowa;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego ;nowe;2011-04-01;10568/11;lis-54;2011-04-27;2011;4;2011-04-01;19
918;;2011-04-27;Czapliñskiego W³adys³awa 24;bud.mieszkalne jednorodzinne;budowa jednorodz.    budynku mieszkal.z wy³.przy³aczy i zjazdu;nowe;2011-03-01;lis-20;752/11;2011-04-27;2011;3;2011-03-01;42
932;;2011-04-29;Poœwiêcka;bud.mieszkalne jednorodzinne;budowa budynku jednorodzinnego;nowe;2011-03-17;lis-52;759/11;2011-04-29;2011;3;2011-03-01;32
950;;2011-05-04;Górecka 115;bud.mieszkalne jednorodzinne;budowa bud.mieszkal.;nowe;2011-02-02;lis-33;768/11;2011-05-04;2011;2;2011-02-01;66
954;;2011-05-04;Brzozowa;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.wraz z wew.instal.gaz.;nowe;2011-03-07;lis-52;772/11;2011-05-04;2011;3;2011-03-01;43
978;;2011-05-06;Czapliñskiego W³adys³awa 30;bud.o dwóch mieszkaniach;budowa jednorodzinnego budynku mieszkalnego ;nowe;2011-03-15;lis-76;783/11;2011-05-06;2011;3;2011-03-01;39
987;;2011-05-09;Dolnobrzeska;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2011-03-15;lis-68;788/11;2011-05-09;2011;3;2011-03-01;40
995;;2011-05-10;Wa³brzyska 35-37;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal.us³ug.z gara¿;nowe;2011-03-02;lis-99;795/11;2011-05-10;2011;3;2011-03-01;50
1007;;2011-05-11;Niborska 25;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2011-03-17;lis-70;800/11;2011-05-11;2011;3;2011-03-01;40
1022;;2011-05-12;Stanis³awowska 50;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u bud.mieszkal.;nowe;2011-04-22;13431/11;155/11;2011-05-12;2011;4;2011-04-01;15
1028;;2011-05-13;Jaskó³cza 21;bud.mieszkalne jednorodzinne;budowa  budynku mieszkalnego jednorodzinnego ;nowe;2011-03-11;lis-10;lis-66;2011-05-13;2011;3;2011-03-01;46
